id,director,actor1,actor2,actor3,genres,keywords,title,comb
433627,josépadilha,rosamundpike,danielbrühl,eddiemarsan,Thriller Drama Crime,1970s based on true stori rescue miss,7 days,Thriller Drama Crime 1970s based on true stori rescue miss rosamundpike danielbrühl eddiemarsan josépadilha
767825,christopherwinterbauer,colesprouse,lanacondor,masongooding,Comedy Romance Science Fiction,planet mar futur,moonshot,Comedy Romance Science Fiction planet mar futur colesprouse lanacondor masongooding christopherwinterbauer
526896,danielespinosa,jaredleto,mattsmith,adriaarjona,Action Science Fiction Fantasy,vampir superhero based on com duringcreditssting,morbius,Action Science Fiction Fantasy vampir superhero based on com duringcreditssting jaredleto mattsmith adriaarjona danielespinosa
765119,juddapatow,karengillan,irisapatow,fredarmisen,Comedy,hotel quarantin drug us aftercreditssting covid-19,the bubble,Comedy hotel quarantin drug us aftercreditssting covid-19 karengillan irisapatow fredarmisen juddapatow
628900,tariksaleh,chrispine,benfoster,gillianjacobs,Action Thriller,mission veteran,the contractor,Action Thriller mission veteran chrispine benfoster gillianjacobs tariksaleh
826953,timfederle,ruebywood,lisakudrow,joshuabassett,Music Family Comedy,based on novel or book music,better nate than ever,Music Family Comedy based on novel or book music ruebywood lisakudrow joshuabassett timfederle
664996,richardlinklater,milocoy,jackblack,zacharylevi,Animation Science Fiction Family Adventure,nasa texa coming of ag childhood 1960s,apollo 10 1⁄2: a space age childhood,Animation Science Fiction Family Adventure nasa texa coming of ag childhood 1960s milocoy jackblack zacharylevi richardlinklater
675353,jefffowler,jamesmarsden,benschwartz,tikasumpter,Action Adventure Family Comedy,sequel based on video gam duringcreditssting live action and anim,sonic the hedgehog 2,Action Adventure Family Comedy sequel based on video gam duringcreditssting live action and anim jamesmarsden benschwartz tikasumpter jefffowler
763285,michaelbay,jakegyllenhaal,yahyaabdul-mateenii,eizagonzález,Action Thriller Crime,"remak los angeles, california veteran brother brother relationship",ambulance,"Action Thriller Crime remak los angeles, california veteran brother brother relationship jakegyllenhaal yahyaabdul-mateenii eizagonzález michaelbay"
294793,janusmetz,chrispine,thandiwenewton,jonathanpryce,Thriller Action,spi cia based on novel or book conspiraci,all the old knives,Thriller Action spi cia based on novel or book conspiraci chrispine thandiwenewton jonathanpryce janusmetz
