id,director,actor1,actor2,actor3,genres,keywords,title
718840,chrisriedell,lucyhale,leonidasgulaptis,mindycohn,Comedy Romance,based on memoir or autobiographi,A Nice Girl Like You
608195,ericbress,brentonthwaites,theorossi,skylarastin,Horror Thriller War Fantasy,world war ii supernatur,Ghosts of War
315064,tonybancroft,emilyblunt,johnkrasinski,lydiarosetaylor,Comedy Animation Adventure,,Animal Crackers
583083,vincemarcello,joeyking,jacobelordi,joelcourtney,Comedy Romance,,The Kissing Booth 2
587496,davefranco,danstevens,alisonbrie,sheilavand,Horror,hous stalker murder,The Rental
703745,johnpogue,taniaraymonde,nathanielbuzolic,emersonbrooks,Action Horror Science Fiction,shark attack animal attack sequel creatur underwat,Deep Blue Sea 3
719643,beyoncé,beyoncé,adutakech,naomicampbell,Music,,Black Is King
550231,andytennant,katieholmes,joshlucas,jerryo'connell,Drama Romance,based on novel or book love,The Secret: Dare To Dream
523977,jessicaswale,gemmaarterton,gugumbatha-raw,lucasbond,Drama War Romance,world war ii lesbian relationship woman director,Summerland
664297,amyseimetz,katelynsheil,janeadams,kentuckeraudley,Drama,female friendship woman director brother sister relationship,She Dies Tomorrow
628917,brandontrost,sethrogen,sarahsnook,mollyevensen,Comedy Drama,immigr time travel duringcreditssting,An American Pickle
531499,davidayer,bobbysoto,cinthyacarmona,georgelopez,Action Crime Drama,family relationship,The Tax Collector
505707,ciroguerra,markrylance,johnnydepp,robertpattinson,Drama History,tortur,Waiting for the Barbarians
605116,henryjoost,jamiefoxx,josephgordon-levitt,dominiquefishback,Action Crime Science Fiction,drug,Project Power
454433,markwaters,adamdevine,jeffreytambor,gillianjacobs,Family Fantasy Comedy,famili,Magic Camp
653598,eugenekotlyarenko,joekeery,sasheerzamata,davidarquette,Thriller Horror Comedy,,Spree
653723,jessemoss,benfeinstein,stevengarza,robertmacdougall,Documentary,,Boys State
508570,theasharrock,bryancranston,samrockwell,angelinajolie,Family Comedy Drama,based on novel or book based on true stori talking anim,The One and Only Ivan
625568,derrickborte,russellcrowe,carenpistorius,gabrielbateman,Action Thriller,gas stat psychopath stalker murder,Unhinged
517412,michaelalmereyda,ethanhawke,evehewson,jimgaffigan,History Drama,biographi based on true stori,Tesla
493065,rza,shameikmoore,demetriusshippjr.,denzelwhitaker,Action Crime Drama Thriller,"prison new orleans, louisiana",Cut Throat City
523781,thorfreudenthal,charlieplummer,mollyparker,waltongoggins,Drama Romance,schizophrenia narrat high school protective moth teenage protagonist based on young adult novel,Words on Bathroom Walls
724989,matteskandari,brucewillis,jessemetcalfe,natalieevamarie,Action Thriller,,Hard Kill
621013,richardtanne,austinabrams,lilireinhart,sarahjones,Drama Romance,,Chemical Hearts
577922,christophernolan,johndavidwashington,robertpattinson,elizabethdebicki,Action Thriller Science Fiction,"spi assassin mumbai (bombay), india time travel espionag terror",Tenet
501979,deanparisot,keanureeves,alexwinter,kristenschaal,Comedy Science Fiction Adventure,time travel sequel father daughter relationship,Bill & Ted Face the Music
340102,joshboone,bluhunt,maisiewilliams,anyataylor-joy,Horror Science Fiction Mystery Action,superhero based on com,The New Mutants
520900,armandoiannucci,devpatel,petercapaldi,benwhishaw,Comedy,"london, england based on novel or book orphan 19th centuri",The Personal History of David Copperfield
500840,charliekaufman,jesseplemons,jessiebuckley,tonicollette,Drama Mystery Thriller Fantasy,suicid based on novel or book winter dementia road trip surreal snow school blizzard,I'm Thinking of Ending Things
594328,bobbowen,ashleytisdale,vincentmartella,daviderrigojr.,Family Animation Science Fiction Comedy TV Movie,,Phineas and Ferb the Movie: Candace Against the Universe
615466,bretthaley,auli'icravalho,rhenzyfeliz,justinamachado,Drama,,All Together Now
1024546,edwarddrake,brucewillis,beaumirchoff,lochlynmunro,Action Crime,"los angeles, california",Rogue
680028,brendanwalsh,génesisrodríguez,vincentpiazza,benjaminsokolow,Thriller,pregnanc based on true stori snow trap blizzard,Centigrade
647265,jeremygarelick,skylergisondo,dexterdarden,eduardofranco,Comedy,drug,The Binge
644090,markstevenjohnson,rachaelleighcook,damonwayansjr.,heathergraham,Romance Comedy,trial date,"Love, Guaranteed"
10674,tonybancroft,ming-nawen,eddiemurphy,bdwong,Animation Family Adventure,villain music daughter based on true stori female protagonist east asian lead based on fairy tal father daughter relationship,Mulan
665877,johnleguizamo,johnleguizamo,rachelbayjones,michaelkennethwilliams,Drama,"miami, florida high school based on true stori",Critical Thinking
659986,juliusberg,maisiewilliams,sylvestermccoy,ritatushingham,Thriller Horror,,The Owners
594084,sammacaroni,paulyshore,aimeeteegarden,mikecastle,Comedy,,Guest House
